,y_true,y_prob,y_raw
171,1,0.83855194,1.6474932
172,0,0.4468404,-0.21344522
173,0,0.017710889,-4.015706
174,0,0.027471744,-3.5667412
175,1,0.96051633,3.191583
176,1,0.9431541,2.808885
177,1,0.9596611,3.1692636
178,1,0.85721225,1.7923263
179,1,0.9540812,3.0338748
180,1,0.9717773,3.5389984
181,1,0.9640497,3.2890065
182,1,0.9814356,3.9677746
183,1,0.9353578,2.6720622
184,1,0.9789917,3.8416083
185,0,0.36207542,-0.5663676
186,1,0.9285049,2.563946
187,0,0.02431131,-3.6922019
188,0,0.04567709,-3.0394053
189,1,0.94004226,2.7522848
190,1,0.9481665,2.9064927
191,0,0.54731214,0.18981642
192,1,0.95260495,3.0006838
193,0,0.028440868,-3.531075
194,1,0.9317992,2.6146603
195,0,0.042901386,-3.1050024
